Critic Name,Review,Rating
filmschoolgre,"I went into this movie expecting it to be worse than it actually was, i read the books and they did miss a lot of details but as a person that knows film so many scenes and refill of the book has to be cut of because of the screen time. Now the narrative portrait was slow at first and really fast at the end, which is something i didn't like, they changed the age of the characters and i hated that when i first heard of it, in spite of that it turned out to be actually better for them to play with the past and presence timeline but come on couldn't they at least taken the mustage of atlas away, i would of liked to see more of Ryle apologising and crying because of his actions like in the book, i felt since the hitting started the finale just got rushed and would like to see more of those scenes like the book did, didn't feel like the aggression and DV is the main plot here, didn't see them take this issue more in dept just saw more of a romantic movie at first which that's okay because we need a bit of backstory but it just got slow and they could of use the time to cut some of it and be more in dept with the main topic, now talking more about the shots and picture they did a good job, there were some scenes where i didn't like the lighting and the camera moving but overall the shoots were good and better than i was expecting, i liked some of the costumes the characters were wearing but sometimes it looked like the costume design department definitely got lost.",3
kostadinova_aneta78,"Please, save your money and buy the book instead. They presented the story in such a shallow way that youd think it something you shouldn't pay attention to, because its fun and normal and it happens but you need hope. Like no Blake, its not about hope its about fighting and going back and forth, you shouldve at least spoken to someone or google whats DV! Please she is so out of touch when playing, never aligned facial expressions with the actual situation, most important parts of the book were cut off? If youve seen the confession of a marriage counselor movie youd know how to present a story like this. The outfits?? DISASTER. The plot lasting for 5 mins?? DISGRACEFUL. I never thought id see the day where id bash blake but if you read the book and then watch the movie, youd know that the dhar mann stories on youtube have better plot and acting.My friends and I all left absolutely disappointed.",1
bradlles,"HONEST REVIEW!!!As a guy who doesn't usually go for ""girls' movies,"" I wasn't sure what to expect, but I have to say, this film completely blew me away! From the very beginning, it was clear that this movie had something special. The characters were incredibly well-developed, the plot was engaging and from what my partner tells me everything is like the book.The humor was spot on, the emotional moments were heartfelt, and the overall message was inspiring without being heavy-handed. I found myself fully invested in the story and rooting for the characters and the chemistry between the cast was undeniable.I left the cinema with a big smile on my face, and I genuinely hope there's a sequel in the works. This film proves that great storytelling can transcend any genre labels, and I believe it has something for everyone regardless of gender. Don't miss out on this gem and for mine and my partners sake please make ""it starts with us"" as the next movie.",5
isaacsundaralingam,"Justin Baldoni's ""It End with Us"" could at times be as melodramatic as it is attractive, but what it undeniably is, is a decent look into the effects of domestic violence and generational trauma. Since release, the movie has been subject to a lot of behind the scenes drama that I'm not going to focus on here, and instead just approach it for the movie that it is.Starring Blake Lively as Lilly Bloom, the movie sees her falling in love in 2 different stages of her life... Both instances somehow being impacted by her experiences with domestic violence. I've heard complaints about how much the movie deviates from the book it's based on, but having never read the book myself (nor even aware of its existence before the movie), I was rather content with the movie I watched. While it at times does play up the melodrama to cringe worthy levels, the underlying approach to such a heavy subject is done with tact, and that makes the movie a decent watch overall.""It Ends with Us"" is about as young adult romance as it could get, with all the clichés and stereotypes of the genre on full display, and that in itself could mean that it's mostly going to appeal to a particular demographic. And that's a good thing perhaps, because while I did find it interesting, it's not good enough to warrant me recommending it to most people. It's a movie that will be liked by those who usually enjoy cutesy romantic young adult dramas, and would at best be white noise to anyone else.",3
clairehenry-63001,"Going into this film I was unsure of whether it would meet my expectations. I definitely wanted it to follow the book closely; which I must say, I was NOT disappointed. I personally loved the casting, wasn't sure if I would like Brandon Sklenar as Atlas, but I was shockingly in love as soon as he spoke. This movie made it feel like I was reading the book for the first time again! I was teary-eyed and smiling the whole time. I think this film is a wonderful adaptation of the book, which if you haven't read I highly recommend! Obviously they couldn't include all of the past moments with Atlas into the film (my fav parts) but I think they did a good job with the amount that they put in there. Overall, stunning movie that I will be watching a million times over.",4.5
CinemaSerf,"""Lily"" (Blake Lively) is supposed to give an eulogy at her father's funeral, but she can't. Even with her mother (Amy Morton) there and in the full glare of a packed church, she cannot find five good things to say about the man. Quickly we learn - through some flashbacks - just why that is, and just why she's grown up to be a bit of a romantic. Then she encounters neuro-surgeon ""Ryle"" (Justin Baldoni) and there is instant chemistry. She then opens a long-dreamed of flower shop and a stranger walks in seeking a job. Guess what? She's ""Allysa"" (Jenny Slate) who just happens to be the sister of her enigmatic stranger. Maybe they can make a go of things? Well a dinner one evening brings her face to face with ""Atlas"" (Brandon Sklenar) and that takes us back down the path of retrospection as it turns out that in her younger days, she (Isabela Ferrer) has met this vagrant (Alex Neustaedter) and they's had quite an intense relationship until her father (Kevin McKidd) caught them, and - well you can use your imagination. When ""Ryle"" catches them chatting, he suspects the worst and that proceeds to cause his behaviour to materially change the dynamics as matters take a series of quite unpleasant turns. Now, quite why anyone thought this was a film worth making eluded me. Sure the subject matter is serious, but this plodding drama just takes way too long to get going and then when it might become more compelling it runs out of steam. The camerawork pays far too much superficial attention to the undercooked character of ""Lily"" and the writing all too often resorts to power-ballad mode when the story becomes potentially more poignant and resonant. We know that the gist of the plot is to underscore not just the effects of domestic violence in the present, but to try and understand the sources so that path need never be taken again, but it's all presented in too shallow a fashion and could easily lose half an hour without impacting on the thrust - such as it is - of the drama. It's disappointing.",3
stef-leblanc,"I read the book a while back, and while it was decent, it didn't leave a lasting impression on me. So, I walked into the theater to see the movie adaptation with zero expectations. I'm glad I did because what unfolded on the screen completely blew me away.Blake Lively and Justin Baldoni delivered performances that were nothing short of spectacular. They brought depth and emotion to their characters in a way that I wasn't prepared for, and their chemistry was palpable. The movie had me feeling a wide range of emotions-joy, heartbreak, hope, and everything in between.This film turned out to be one of my favorite movies of the year, hands down. It's a must-see, and I highly recommend it!",4.5
vjrsb,"Even though the acting and some of the lines are amazing. It didn't get to me as much as I thought it would I read the book and I didn't think it was life-changing so I really didn't expect much. However it is a good movie to watch. The film also forgets to include important scenes and details from the book that are crucial to maintain the plot of the story. My favorite character was Allysa, Jenny Slate's acting was really good and I was amazed to see after her previous movies she has evolved. I described it as Meh because personally it is not a life changing for me but I thoroughly believe that it taught me things. P. S: Some lines and the message was really good.",3
jared-25331,"Just got done watching It Ends with Us (2024) and it was really boring.Positives for it Ends with Us (2024):
The performance from both Blake Lively and Justin Baldoni are pretty decent in this movie.Negatives for It Ends with Us (2024):
First off this movie was 2-hour long and there is version of this movie where I wouldn't be bother by that, but it feels like this movie is stretching out the plot in the most agonizing ways possible. I didn't cared about the romance between Blake Lively and Justin Baldoni. Throughout the runtime, I was just sitting in my seat and I was like like"" I don't care about any of this. End credits happen alright.""Overall, It Ends with Us (2024) is a boring attempt at doing a slow-paced romantic drama and it's one of the worst movies of 2024.",0.5
ajsciandra,"Everything about this film was stunning. Wonderful acting performances, writing, set design and wardrobe, This film was just stunning to watch - beautiful people in beautiful places. But the story is what makes this film so compelling. Such a strong message. Rising above and ending a pattern of domestic violence skillfully delivered. The characters were so well developed. It's amazing that such an incredible film could be made in a reportedly toxic production environment. Perhaps that off screen drama added to the actors performances. All in, this was a masterful collaboration of artists on point.",4.5
daveroseman-35849,"Lily (Blake Lively), decides to move to Boston and open up a flower shop and ends up meeting and falling in love with a neurosurgeon named Ryal (Justin Baldoni) but Ryal has a dark side which triggers memories of Lily's past. The film is Directed by Ryal/Justin. Written by Christy Hall and Colleen Hoover. This film also stars Jenny Slate (Allysa), Hassan Minhaj (Marshall), Brandon Sklenar (Atlas), Amy Morton (Jenny), Kevin McKidd (Andrew), Alex Neustaedter (young Atlas), and Isabela Ferrer (young Lily). The cast give a strong performance, but it's Blake Lively's perfromance that shines and is Oscar worthy in my opinion. Blake made me feel her pain and root for her fight as she struggles with decisions in her life. Just when you think you have the direction the film is headed their is a turn or twist. I really enjoyed this film and deserves your attention.",3.5
steiner-sam,"It's a romantic drama about abuse in the 2020s with flashbacks to the 2000s in Plethora, Maine, and Boston, Massachusetts. It follows the experiences of Lily Bloom (Isabela Ferrer/Blake Lively), who, early in the film, indicates she has issues with her deceased abusive father (Kevin McKidd) and non-assertive mother (Amy Morton). She's moved to Boston and works hard to open a flower shop. She meets an attractive neurosurgeon, Ryle Kincaid (Justin Baldoni), and discovers he's the brother of a woman, Allysa (Jenny Slate), who she's hired to work in the store. Ryle's assertive pursuit finally succeeds, and they become partners.Flashbacks to Lily's high school days introduce us to Atlas Corrigan (Alex Neustaedter/Brandon Sklenar), an unhoused boy she is drawn to and becomes her first love. Suddenly, one evening, when Ryle and Lily go out to dinner in a new restaurant, Lily reencounters Atlas as he's working there.Several incidents raise flags about Ryle, and Atlas also seems to have renewed interest in Lily. ""It Ends with Us"" delivers a clear message about abuse within marriage, even if there are extenuating circumstances.""It Ends with Us"" is a bit obvious, and Ryle becomes creepy long before Lily recognizes it. The older Alex seems unrelated to the younger Alex. The younger Lily seems more clued in than the older Lily.",3
cinamoon-82481,"I was watching with excitement and anxiousness. I enjoyed.I am very glad that Blake Lively is acting after a long break. She is adorable.Her performance in this movie is astonishing, so natural and real. Moreover, of course, she is so gorgeous and sexy in her unique beauty, fancy clothes, jewelries and shoes.Justin also acted so convincingly. Really very good his performance!The cast is perfect!The plot is interesting and represents love & domestic abuse, trust & insecurity, strength to cut toxic relationship, real friendship.Places, decorations are beautiful.This movie is worth to see.",5
jarynrod,"One of the best movies I've ever seen! Definitely a must see. There is so much emotion and power in this film. The casting and acting was perfect. Wouldn't change a thing, I absolutely loved it. First time I've ever cried in the theaters and first movie I've ever left a review for sooo you should check it out. Just go see it and you'll get it! 12/10 recommend. Blake Lively is the best!My sister and I both agree the movie was the best movie we've seen.And can we give a huge shoutout to the stylist for Lily Bloom, literally the cutest outfits ever!You'll seriously love it, beware that it could be triggering for some but seriously overall an amazing movie.",5
sneakyuk-49093,"I went into this movie knowing nothing about it, other than it's based on a bestselling novel, so I tried to keep an open mind.But after sitting through it, I'm still clueless about what this movie was even supposed to be about. There's this odd flower lady with obvious PTSD and major depression, who ends up dating a guy with his own set of issues, and then her high school boyfriend-who's also a mess-shows up. Even that summary makes it sound more interesting than it is. The truth is, the characters are one-dimensional, completely unrelatable, and their actions are baffling. Honestly, there's no point in worrying about spoilers because there's nothing of value to spoil.",0.5
movieman6-413-929510,"It Ends with Us is a new romantic drama directed by Justin Baldoni, director of Five Feet Apart. He also plays a role in this film. The film is further inspired by the novel of the same name by Colleen Hoover.Lily Bloom (Blake Lively) gets the chance to live her dreams after a traumatic childhood by opening her own flower shop. Here she meets neurosurgeon Ryle Kincaid (Justin Baldoni), with whom she manages to make a good connection. The two start a relationship with each other, but during this relationship Lily gets to know Ryle in a different way that reminds her of her childhood trauma.When Lily starts to calm down a bit, she meets Atlas Corrigan (Brandon Sklenar), with whom she also had a relationship when she was younger. After the events with Ryle, her old feelings for Atlas seem to come back, but this can only lead to more conflict.Fans of the book were not happy with the casting of the actors in this film and the further adjustments that writer Colleen Hoover made when adapting the film script. In the book, the characters are younger than the characters and actors in the film.After doing research later, she did not know, for example, that a neurosurgeon of the young age that she had given Ryle in her book was actually not possible, or realistic. That is why she had the characters made older for the film. In order to keep the love story realistic and acceptable, they also made Lilly's character older. Lily's passion and ideas are no longer as believable for someone her age.Colleen Hoover should have actually gone through these details earlier when she was working on her book. She could have kept them more realistic. The fans of her book are therefore more of the age that the characters in the book are. Due to the change in ages, some readers may find themselves less familiar with the characters in the film, because they now have a greater age difference than those of the book readers. Other details of the story also work a bit less believable, because you would expect different reactions and actions from the older characters, than how the characters written in the book react in the film. The older characters now also have more conversations and actions with each other, which are written more for younger characters.Despite the fact that the ages do not always exactly match the characters from the book, the cast members still manage to portray their roles quite well. Only during some events it does not work, because these are more events that older people would not recognize themselves in. If younger characters had conversations like in this film, it could still have been cute, but now that older characters have such conversations, it comes across as more strange.",2
strangejacob91,"Only rated a 10 because it deserves better than a 6.9. I'm typically not a fan of these types of movies, but I was a fan of how this one was done. Cinematically, storytelling, and score were done well. I didn't know anything about going in. My wife didn't want to watch it alone so I went with her. I almost brought my headphones just in case I got bored. There were quite a few ""wow I can't believe that happened moments."" The cutting back and forth was done really well and they did a good job taking you along with the main character. I honestly had no idea who she would end up with and I like that they didn't make the guy just a pure villain. Usually everyone that messes up has a story even if ultimately inexcusable. Its possible I liked it because I knew nothing going in, but I think this movie still deserves at least a 7.8.",5
therusticapothecary,"I've read a few Colleen Hoover books and don't understand all the hype. However, I thought perhaps the movie would be better.No.Not at all.The characters' names are interesting and typical of her books. However, their ages didn't really mesh, and if I compare the book to the movie, there are many missteps.The domestic violence aspect is played off and not really appropriately depicted. I don't feel it is something that should be downplayed.Blake Lively's acting is okay, and the entire movie felt disjointed. I wasn't a fan of the book and the movie fell into the same category of subpar.",1
anastazjamichalak,"I haven't read the book, I went to the cinema thinking it will be a romantic movie about true love. In the middle of the movie I started guessing that maybe Lilly will leave her husband for her one true love from her childhood or that one of them will die, or maybe she will need to choose between which one was best for her. And then BOOM! I was totally surprised when the movie touched such a difficult topic as violence and evolved in a completely new direction. Movie quality was good in my opinion, acting was good and Blake was amazing, I really like her genuine femininity, the way she speaks and shows emotions .",4
eileeenie,"I read this book two years ago. I enjoyed the movie so much. I think they did the books justice. Do not be discouraged from the clips of them filming with the outfits. It makes perfect sense and didn't feel like it took away from those that read the book. They casted the characters so well I am not mad one bit. I cried a few times throughout the movie... and was pleasantly surprised to have laughed out loud more. Definitely worth the watch.From those that didn't read it, I would guess you would think the movie is slow start, the dramatics maybe didn't hit hard as much as those that read it. My opinion only though.",4
pakhikrishna,"After reading the book, I didn't have much expectation from the movie because I thought it won't be that great but well it was really good. Personally every character played beautifully their part and the movie did justice to the story. It was overwhelming, good, giddy and romantic. Healed a huge amount of grief. Could be watched again for sure. The acting done by Justin and Blake was really good. One could see the pain and grief among the characters. It could have been better if was a short series with like 8 episodes. Atlas character was also pretty good considering how his role is presented in the book. The casting was great and the movie is a must watch.",4
SAMISAR,"First of all this was a great book with a moving story but it was not captivated in the movie at all. Blake Lively did not portay Lily Bloom like she is in the book at all.The way she has been trying to promote and turn this movie in to a romantic chick flic when it's about serious topics, abuse and trauma is beyond me. Several people were triggered at certain points in the movie because Blake promotes as a film for a romantic movie night.The producing and writing takes so much away of the weight and needed importance of understanding abuse between partners. Key scenes were missing. This movie is important and should have been so much more.As said before Blake was the wrong choice for Lily 1. Because she is unable to capture Lily's true essence and personality 2. Her acting is and has always been very basic with little range.Very disappointed with how this turned out.",0.5
eg91840,"I loved the movie, and I thought it was cast really well. I'm a huge Blake Lively fan, and I thought her execution was perfect. The storyline didn't feel rushed to me, it was really well done. The only thing I hated about this move was the ridiculous outfits. The costume design for Lilly was SUPER distracting. The horrible outfits pulled you out of the movie and ruined several scenes. I've never watched a movie and felt like costume design was so off until this movie. I guess I understand how important it is now. It kind of bummed me out. They missed the mark big time on costume design, but I still walked out impressed with the movie.",4
magesole,"I knew the movie dealt with abuse, what I didn't know was that the Romance the film-makers concentrate on would be With the Abuser and not with ""the other guy"". The visuals and the tone of the movie were too ""romantic"" for such serious topics. In my opinion, this movie wants to be too many things at once, hence fails at portraying anything.""It Ends With Us"" should have been introduced and promoted as a relationship drama with romance elements, the ""romance"" should have never been used as a selling point, which I must admit, I got caught in. I naively believed that the abusive relationship would take the backstage and we would concentrate on ""the other guy"", alas, my hopes were shattered pretty quickly. Most of the movie I had to clench my fists and growl in silence with the frustration of knowing that I am watching the relationship that leads nowhere and the relationship that should have never started.I personally have not been in an abusive relationship, but I can see, hear and determine the signs, and perhaps, in my age I am not the target demographic, but from the very first view and speech patterns Ryle used, I just wanted to punch him in the face. Also, I think Blake Lively portrayed Lily as too confident, to sell the idea that such a confident and financially independent woman would choose to be in a relationship with such an immature and needy man (and he was needy from the get-go).If this movie helps even just one person to leave this kind of relationship - great! However, filmmakers should have also considered the ones who have already left these relationships, and the movie should come with a trigger warning, because believe me, they do ""trigger"" (or annoy) even people without PTSD.",2.5
writeanddraw,"Lots of passion here no question about that. Is it difficult to watch at times, yes? Can we be made to be uncomfortable in 2024? Absolutely...
This is a good movie with a strong message. You can't stop the thing without saying what the thing is. Stop abuse.It starts with us.I hope you watch this film and learn from it.This is why I made an IMDB account.We need more of these films and less abuse.Movie is loyal to Colleen Hoover and Colleen Hoover is loyal to us all. What more can I say.We need a sequel not a repeat in real life.Take heart. Take a friend. God bless and good night. Amen!",5
zgzfckzc,Blake Lively did a phenomenal work playing as Lily Bloom. Colleen Hoover was the right answer to join this project and create so much characters from her book to make it come to life. She casted Two Beautiful Men of Justin Baldoni and Brandon Skelenar playing both Ryle Kincaid and Atlas Corrigan both delivered such fierce and powerful performances in the film and the film was so good and Inspiring to women who suffer from domestic violence and leaves a message that there is hopped and you can break the pattern honestly I hope the major motion film wins An Academy Award or an Golden Globe for this film.,5
SAMTHEBESTEST,"It Ends With Us (2024) :
Movie Review -Based on Colleen Hoover's novel of the same name, It Ends With Us is a modern love triangle that goes out in vain due to the soulless gestures of two of the leading characters out of three. I'd still feel for one character who hasn't gotten over his first love, but I definitely have no feelings or empathy for the other two, who have literally left this film with no meaning. I didn't mind the sexual appeal and intimacy, and until the interval, that ""Casablanca"" touch was working fine. But tell me, who can make another Casablanca? Even Michael Curtiz himself would give up on making such a masterpiece love triangle again. Why do others try? I couldn't understand it to date. Many have used the formula and turned it into a big mess, and It Ends With Us is on the same lines, with an external feminist touch to it. Unfortunately, it fails to make an impact, and the long narrative is a tad slow most of the time.Lily Bloom (Blake Lively) has lost her father and meets a rich neurosurgeon, Ryle (Justin Baldoni), and their first conversation ends up with sexual advances that are left incomplete due to sudden circumstances. Why would they get so intimate in the first rough meeting? I couldn't gather. Lily and Ryle meet again as Ryle's sister, Allysa (Jenny Slate), is working at Lily's flower shop, and this time they begin dating. Despite warnings from Allysa, Lily falls in love with Ryle. The happy romance lives a short life as Lily sees her school-time boyfriend, Atlas (Brandon Sklenar), at a restaurant in the same town (Boston). We are taken to the flashback of young Lily and young Atlas' romance, and Atlas hasn't gotten over it yet. Has Lily really moved on? Will Ryle have no objections? There begins a mess!With a screenplay by Christy Hall, It Ends With Us has many funny moments and intimate scenes that do entertain you for a while, but don't mean anything to the main context in which the narrative unfolds later. What goes terribly wrong in the entire conclusion portion in the last 30 minutes when all three characters seem to have their senses and behave as if something big has happened, when in reality nothing big has happened. Making a mountain out of a molehill works for some films, but not here. I didn't mind the extreme use of feminism when Lily made some tough choices, but all I am asking is that the opposite didn't deserve such harsh treatment when you yourself were hiding something from him. The same applies to the severely misogynistic Ryle, who happens to be overly possessive against overly insecure Lily. Atlas is safe but too much in love with Lily. 8 years, and the man didn't move on? Really? What if he had never met her again? The plot and screenplay don't look logical with such basic mistakes, and it continues to hurt the film as well as our viewing experience till the end.Blake Lively looks hot and steamy-that was the plan, basically, since they did glamorize her with those glittering dresses, sexy attitude, and sultry scenes with Ryle. The chemistry with Justin Baldoni was fine, and it definitely arouses romantic interest in viewers. Justin losing his nerves in extremely important moments fails to convince you, which certainly makes the scenes look dull. Brandon Sklenar makes a pleasant entry but hasn't got any variety to showcase. Jenny Slate, as Jenny, is a total feminist that you can easily relate to. Amy Morton plays Lily's helpless and soulless mother with no extra effort, and Hasan Minhaj makes his small role look sweet with some party vibes.The film was beautifully shot by Barry Peterson, and the art design, costumes, and production design all looked very gorgeous. The problem appears in dialogues that don't have depth. ""The Naked Truth"" could have been used subtly, but they wasted it for two sex-friendly people's lusty conversation. It Ends With Us ends with two ladies, oh, sorry, three (I hope it is not a spoiler)-now you can guess how dragged it is, but still there are those ""coming-back,"" ""forgive-me,"" and ""back to first love"" cliches that bore you even more than the entire film has done until then. Director Justin Baldoni sees a film as a problematic romance or a complex romantic relationship, but he couldn't see that the conflicts used for it aren't really problematic. In simple terms, exam results wouldn't matter if your questions had no meaning. It Ends With Us ends up with no realization of this simple equation, but more than that, it's the vision and pace that take you away from the film.RATING - 4/10*",2
laurhartwick,"I read this book and found it problematic in some ways but some of the passages from the later half left a lasting impression so I do overall respect it.I found the movie, despite the changes they made with age, was a very good adaptation. The writers clearly put a lot of effort in keeping the key scenes as similar as possible and being mindful of what they edited out and how. They also kept the same message and tone of the book while making the adult characters older, and I ended up liking that a lot.I would give the book and this movie's plot a 6 or 7 but as a film I would rate it higher. Blake Lively was phenomenal and all the actors, the cinematography and soundtrack were very good. Above all it kept the somewhat odd mashup of a high income, beautiful people, beautiful world rom-com/chick-lit feel and a very serious topic which is not easy to do.",4
jesseniarafay,"The controversial themes of the movie were not an issue as they were glazed through and watered down heavily, the issue was that the controversy was hardly a plot for a story. At first I thought the movie had a slow start with some awkward character pairings but the slow start just never ended. I continued to wonder if the movie was actually about anything, it was as if the entire two hours was an intro that never ended. The story did not feel very real or emotion evoking. The side character romance felt more compelling than the main character romance. The main character from the past and present gave two completely different energies and personalities, one being more quaint and emphatic with moral purpose and the other more of a shy call girl who's lost her conviction somehow.",1.5
qbqnfh,"Let's be honest anything starring Blake lively is a great movie. She's so relatable. She's the girl next-door. She's able to light up the screen and to showcase the star she's acting with. She was really able to capture the vulnerability and the innocence that Lily had in the book. I didn't want the movie to end. There were certain parts that I was more emotional than others because I read the book and they did not. That's the beauty of reading a book, a movie will never be able to capture that. So you'll never be able to compare. I really enjoyed this movie I think it did the book a lot of justice. Colleen Hoover should be proud and I'm so happy that she ended up choosing Blake because like Colleen said once you see Blake playing Lily you can't see anyone else playing her.",5
karlevans-75682,So I stayed away from the book and didn't watch the trailer although I read something on the Internet purely by accident about glamourising domestic abuse.The subject matter is interlaced in a double love story with the ever radiant blake lively cast as the main character from Colleen hoovers book of the same name.I found myself totally immersed in a movie with a subject I've not come across before or maybe I side stepped them to avoid seeing the hurt these courageous souls put themselves through.Blake lively is utterly convincing as the lovely loved and then wronged lily bloom yep lily bloom you read it right unfortunately the rest of the cast can't hold a candle to her utterly mesmerising performance. I wouldn't say that domestic abuse was glamourised here I'd say it was done in a subtle way. Go see it and see for yourself!,4
lindakrokmo,"This movie was a roller-coaster. I read the book. And my my did they do good to make the movie close to the book and make it alive.The filmography was amazing, the casting was perfect and the scenes were perfect.For someone who hasn't read the book it was surprising, and they loved it.It had flashbacks, and how they've done them was like the book and it was just greatly done.The movie is a movie every woman (and man as well) should see. The movie without the message is a great watch, but the story is important.My hubby loved it just as much as me.Just to add a few more words. LOVED it.Get your popcorn (maybe tissues), get cosy and go watch it. It is worth it.If you read the book, RUN and watch it. Trust me. They did a good job.",4.5
alexandramariasofronie,"If you want to watch this movie, don't. Lively's acting was subpar at best, and I spent most of the movie looking at her hair (which she promotes her haircare brand for, which is frankly ridiculous) wondering if she had been electrocuted.Every outfit choice in this movie was certainly . . . Something. There were a few moments where I thought it could be redeemed, likely by the hand of Baldoni himself, but other than that the movie was generally boring, and, I felt, somewhat offensive. It's a book centered around domestic violence . . with domestic violence as the apparent 'plot twist', with no resources to help victims as shown at the end.Lively markets this film as if it's a romcom, but it should not be at all. The domestic violence is not marketed. It is insensitive, and honestly just an incredibly painful watch. This movie, overall, was terrible. I would not watch it again, especially with all the press controversy that it's been gaining.",0.5
curtispeace,"I just knew when I got here that this stupid movie would have some kind of high rating, because this is what people like?, what's wrong with you all?, do you need to have your heads examined?, I'm pretty sure you do, the first conversation between the girl and boy, on the roof, is so contrived and so impossibly nonsensical because nobody talks like this, nobody who meets each other has a conversation like this, only in a bad movie!, which reminds me, this movie is terrible, whatever might happen as it goes along, it can't overtake this first scene where I stopped, if you like this, I guess you like daytime soaps?, do yourself a favor if you have a brain that works, don't watch this pablum.",0.5
jvreagan-436-586816,"I cannot think of a worst flick I've seen in the past 40 years. Poor acting with the exception of a few of Blake Lively's solo scenes or shots. I hear this is supposed to be about an abusive relationship, but literally the movie doesn't not show that part until part of a ""reveal"" that in effect feels more like revisionist history than a true problem. There is no emotional build up creating empathy or anger or tension or literally any emotion. You're just wondering for 80% of the movie ""um, what is this movie about? A lady and her rough relationship with her mother?""Add in a non-existent plot - it's literally just random scenes with no logical connection - and all the supporting actors were beyond brutal, and you wind up with just a painful experience.I get this was based on a book, and maybe the book is the problem with so many unbelievable coincidences that you have to willfully suspend disbelief. I could not wait to get out of the theatre. I got the sense everyone else in the theatre was in the same boat.",0.5
jesswoods-97253,"I always worry when I see a movie based on a book I have read that it is going to be bad/ that it's going to cut out parts that I felt were essential or moving. That was not the case with this movie. I read the novel and was worried the movie wasn't going to be capture the feeling in Lily's shoes/ her mind. I think they did a great job, far better than I expected. It show cased the exact feeling of 'oh that's not him being violent', or it was 'just an accident' and brought back that it wasn't an accident in a skillful way. I watched it with friends and we all cried. The acting is great and you feel captivated in the story. I definitely think it's worth a watch whether you have seen the book or not.",5
snoli,"I was looking forward to this movie a lot, since I had read the book and found it nice, but I was very disappointed. The acting was very poor and, in my opinion, the actors were totally unfitting to their role. I found it very dull and boring and I couldn't wait for it to be over. Additionally, something that really bothered me was that there wasn't any message (like in the beginning or end) concerning domestic violence, how to reach help or any trigger warnings. Overall, I would say that the acting was bad, the story was boring (even though the book was ok) and the casting could be 100 times better.",1.5
Fatmadxb,"I'm writing this review, because all the very low ratings are obviously from people coming in with an agenda of being proud haters or got caught up with all the media frenzy.I read this book in 2020, there are a lot of cringe aspects to the book - but the messaging & storyline was unique & left a stamp. When I knew they'd make a movie I was excited. But, when they announced the cast - I was disappointed. They were nothing like I imagined. Nevertheless I ignored all the criticism and went to the movie with an open mind.The cast did a phenomenal job. Blake portrayed Lily wonderfully. Justin Baldoni created a Ryle I could never dream of, I was legit scared of him. He was so realistic - he did an insane job. Atlas was perfect. Young Atlas & Lily were adorable.The way this movie was directed and how the storyline was presented was perfect. I loved it and I shed so many tears. I also went with my friends one who read the book & hated it: she said she LOVED the movie and it exceeded her expectation. And my other friend didn't read the book, and loved the movie so much - shared with me that she doesn't understand all the hate.Overall - one of the BEST book adaptations I've ever watched. I could have easily watched 30 more minutes!",5
mddveares,"The book was unimpressive and I was unsure on what to expect when seeing It Ends with Us. Quickly realised how much better the movie was going to be.The artistry in the videography, fashion, locations/ sets was perfectly captured. The casting was fantastic, definitely when it came to Blake Lively and Isabella Ferrer. Strikingly similar, not only in appearance but speech and mannerisms.The essence of the book was captured perfectly, without being superfluous or boring. I also appreciate the subtly in the domestic violence scenes. Persuading viewers to see the violence through the eyes of the abuser and then rounding out the story to truely encapsulate what abuse is and how it should be viewed.Justin Baldoni = great actor, even better director.",4
r96sk,"I found 'It Ends with Us' to be largely great, though the way it ends does make me question how I feel about it.The performances of Blake Lively, Justin Baldoni (just me who thinks he looks a touch like Runar from 'Ice Age'? ...), Brandon Sklenar, Jenny Slate - heck, even Isabela Ferrer and Alex Neustaedter (iffy likeness aside) - are stellar. I sensed a lot of chemistry between Lively & Baldoni and Lively & Sklenar, which is impressive to succeed in that area twice.Pace-wise the movie jumps along nicely, all the other major elements like editing, music and whatever are all well done and are only plus points. However, the conclusion disappoints a bit. I do think it just about regains its footing to produce a positive ending, though how it gets there by wrapping up the relationship between Lively's Lily and Baldoni's Atlas left me feeling a bit uneasy. As did a few other scenes, though they were of course as intended.Amusing that I'm pretty sure I was the only dude (or at least one of a few) in a packed cinema watching this. Upon exiting, visually I kinda felt like Will Smith in that famous 'The Pursuit of Happyness' (which I still haven't seen btw, gotta get on that) crowd scene - only surrounded by women. Bit awkward, I can't lie. ""Will watch anything!"" evidently leads me astray sometimes!",4
